t_meas_s,lat_deg,lon_deg,alt_m,pitch_rad,roll_rad,heading_rad,v_e_mps,v_n_mps,v_u_mps
164.0,42.935154111796756,-8.402779636439966,516.9561423974912,0.02192763194107094,0.12497260952453516,1.5125606457114946,45.57919833841365,2.4320359699881107,0.02455803459181993
164.05,42.93515520631752,-8.402751719391413,516.9573702992209,0.02188238692360608,0.12625238573333447,1.5136703014777018,45.6028772839329,2.3771931872193584,0.0208034099530631
164.1,42.93515627615666,-8.402723787839134,516.9584104697185,0.02184741003101596,0.12742206721393842,1.5152157683003757,45.62572986023333,2.3029285011292426,0.017185940242539877
164.15,42.93515731257351,-8.402695842289296,516.9592697667306,0.021824555521132813,0.128513289217912,1.5165746815733083,45.64641555424876,2.2375151958017043,0.014323668532174299
164.2,42.935158319551554,-8.402667884069114,516.9599859501571,0.0218019227229132,0.12971910095359895,1.5171468508134094,45.666686665228205,2.207806197577581,0.01199121022492917
164.25,42.93515931315927,-8.402639913432521,516.9605855106684,0.02178155450712663,0.1309248294015065,1.517853851430436,45.68639846675386,2.1719654354124445,0.010348056752461886
164.3,42.93516029063711,-8.402611930722102,516.961102913506,0.021757109900425235,0.13217059070652323,1.5193152437465125,45.70806472398384,2.1016565201305224,0.008457145751119385
164.35,42.93516123647291,-8.402583934740772,516.9615257707935,0.021742700207057007,0.1334457914621948,1.5209117120545006,45.729835682400726,2.025309083721935,0.006654832627428361
164.4,42.93516214794907,-8.402555925424418,516.9618585124249,0.021742660032747083,0.13468860201928498,1.521915811593752,45.74974131264259,1.9763169940406509,0.0051820021244167284
164.45,42.93516303737669,-8.402527903915555,516.9621176125311,0.021754060315118062,0.1361043387891715,1.5231467481372283,45.77206108762761,1.9165559626467097,0.003869865300750841
164.5,42.935163899909284,-8.40249986873554,516.9623111057961,0.021775148646400944,0.13763204678432145,1.524971366131668,45.79655174597168,1.8295582301844882,0.0028025387953070882
164.55,42.93516472328915,-8.402471818554735,516.9624512327358,0.021800918792687952,0.13907877237752156,1.5268777430782503,45.81984460758039,1.7390813478213356,0.0015249030723149606
164.6,42.93516550595052,-8.402443754106804,516.9625274778895,0.021829835815114298,0.1403857520691309,1.5285469519610047,45.840214542182764,1.6598902781643574,0.0009854172152478442
164.65,42.935166252972515,-8.40241567718204,516.9625767487503,0.02185133696585048,0.14170046763980676,1.5291578743047127,45.85884033375624,1.6290753233020834,0.0013418378207224627
164.7,42.93516698612646,-8.40238758884873,516.9626438406414,0.021851987493223046,0.14317980271383463,1.5297933022647259,45.87935478830889,1.596502816271259,0.0019519536894849392
164.75,42.93516770462137,-8.402359487950084,516.9627414383258,0.021835155011801898,0.14471132576815723,1.5312483093557576,45.901950501428516,1.526179025679245,0.002518426572740724
164.8,42.935168391467556,-8.402331373211352,516.9628673596544,0.021809050072548904,0.1461821172740298,1.5324586864009362,45.92339860682396,1.4672075220178793,0.0029403432170931974
164.85,42.935169051774025,-8.402303245335451,516.9630143768153,0.021781335850202463,0.14767147403883568,1.5339296047266187,45.94565098994475,1.3961129064393807,0.0037156280679564104
164.9,42.93516968008486,-8.40227510382978,516.9632001582187,0.021752610444932718,0.14903219866144157,1.5353855975375756,45.966287032758146,1.3258392710617024,0.004788945534992296
164.95,42.93517027676954,-8.402246949684354,516.9634396054954,0.021720316310197264,0.1504160307415603,1.537500109660824,45.98910134547076,1.2253322321491877,0.00578872716826397
165.0,42.93517082822173,-8.402218781565013,516.9637290418539,0.021689565011923394,0.15170344743587177,1.5391542960098308,46.01061426007051,1.1462057947154913,0.006804889071839727
165.05,42.93517134406362,-8.402190600268874,516.9640692863074,0.02165955997773014,0.1526820012613024,1.5411187181621067,46.02984025255852,1.0537661936613625,0.008006229713126058
165.1,42.93517181830371,-8.402162407196686,516.9644695977931,0.021629531989837598,0.15358756898319267,1.5429732585419709,46.04877743736676,0.966721956598401,0.009609522625531388
