T Lat Lon Hsns Ve Vn SNS_GOOD Shassi
1268.3000000000002 42.86580105515429 -8.347525941790138 517.7495369894107 2.8207179211993383 -38.84131845923001 1 1
1268.35 42.86578357468054 -8.347524216049422 517.7728666240944 2.8064759050825114 -38.841238278687605 1 1
1268.4 42.86576609424289 -8.34752249902259 517.7946377813961 2.790272330982765 -38.841737270842586 1 1
1268.45 42.86574861358068 -8.347520791909735 517.8150299920902 2.7753003383936514 -38.842356956235534 1 1
1268.5 42.86573113263958 -8.34751909395736 517.8339102414686 2.763692331174646 -38.8431806788673 1 1
1268.5500000000002 42.865713651327766 -8.347517403107345 517.851290261391 2.751862139776489 -38.84392911152791 1 1
1268.6 42.86569616967912 -8.34751571949562 517.8674881112121 2.7487948951341776 -38.84457803813775 1 1
1268.65 42.86567868773841 -8.34751403776094 517.8824219703524 2.744836689848367 -38.845759066039584 1 1
1268.7 42.86566120526616 -8.347512358448395 517.8958946785889 2.73306189225963 -38.84781993262459 1 1
1268.75 42.86564372186642 -8.347510686340241 517.9079524680485 2.7202507769308517 -38.85039083152565 1 1
1268.8000000000002 42.86562623730962 -8.347509022070499 517.9183782209396 2.712230519186406 -38.85298222664309 1 1
1268.85 42.86560875158654 -8.34750736270808 517.9271689010251 2.6941749975561757 -38.85640542191071 1 1
1268.9 42.865591264322845 -8.347505714392629 517.9343355110443 2.672512850001737 -38.86007161121859 1 1
1268.95 42.86557377540913 -8.347504079330697 517.9400819802368 2.655336832551032 -38.863745078841866 1 1
1269.0 42.86555628484216 -8.347502454777635 517.9443537182118 2.6347086616746287 -38.86812218846895 1 1
1269.0500000000002 42.86553879230521 -8.34750084284548 517.9471676549107 2.6145857248454423 -38.87245641387074 1 1
1269.1 42.86552129781762 -8.347499243225124 517.9488380907761 2.598582225986359 -38.87701175249797 1 1
1269.15 42.86550380127986 -8.347497653396264 517.949149603939 2.5799050267263075 -38.88225618987684 1 1
1269.2 42.8654863023818 -8.347496074994675 517.9480249611778 2.5578223376090894 -38.888348757852334 1 1
1269.25 42.86546880074172 -8.34749451010385 517.9454113042074 2.5368764751586546 -38.89390326356201 1 1
1269.3000000000002 42.8654512966018 -8.347492958028267 517.9414578002692 2.5202777449003277 -38.899502219727424 1 1
1269.35 42.86543378994201 -8.347491416108316 517.9361968345239 2.5055539734512777 -38.904726148366 1 1
1269.4 42.86541628093111 -8.347489883196882 517.9298156397382 2.4888973029724584 -38.91007381756299 1 1
1269.45 42.86539876951344 -8.34748836047652 517.9223973062078 2.4743035252731 -38.91570439819598 1 1
1269.5 42.86538125556167 -8.347486846685133 517.9138753033961 2.459235366764041 -38.92197749554693 1 1
1269.5500000000002 42.86536373878661 -8.347485342112943 517.9041603403666 2.438379126282357 -38.92871932783149 1 1
1269.6 42.86534621897733 -8.347483850301124 517.8932877710959 2.415450546861546 -38.93507090482415 1 1
1269.65 42.86532869630945 -8.347482372517533 517.881377314293 2.394137656194613 -38.9419822767162 1 1
1269.7 42.86531117053102 -8.347480907773676 517.868345782361 2.374418661836605 -38.94889537391632 1 1
1269.75 42.865293641641294 -8.347479455094396 517.8542183344301 2.35151210347185 -38.95554849198791 1 1
1269.8000000000002 42.865276109757225 -8.347478016429843 517.8391815507107 2.3294560506968005 -38.96254508378675 1 1
1269.85 42.865258574724265 -8.347476591259674 517.8231937596439 2.319182590073376 -38.96900224493475 1 1
1269.9 42.86524103678517 -8.347475172375248 517.8063199902022 2.2987403864012714 -38.97633866943234 1 1
1269.95 42.86522349554424 -8.34747376599783 517.7885697124447 2.277673989225124 -38.98324491891705 1 1
1270.0 42.86520595119504 -8.347472372509298 517.7700224316471 2.267021186794194 -38.98992779670481 1 1
1270.0500000000002 42.86518840383813 -8.347470985538575 517.750681607082 2.24297704160987 -38.99791424570156 1 1
1270.1 42.86517085288682 -8.34746961327852 517.7305659437106 2.2152331875675544 -39.00565896975833 1 1
1270.15 42.8651532984499 -8.347468257992618 517.7097977212318 2.1893845780252668 -39.013519978016745 1 1
1270.2 42.86513574047503 -8.347466918521345 517.6883664711842 2.1765436632118083 -39.02038631473275 1 1
1270.25 42.86511817940987 -8.34746558690655 517.6663585066939 2.1545057719255576 -39.02821887562329 1 1
1270.3000000000002 42.86510061481956 -8.347464268774958 517.6437693606907 2.1346503537529293 -39.03596726020432 1 1
1270.35 42.86508304674198 -8.347462962791324 517.6206398191395 2.1275751232672544 -39.043891731689016 1 1
1270.4 42.865065475097886 -8.347461661136697 517.5969486927776 2.1099274737686624 -39.05218567505114 1 1
1270.45 42.865047899721 -8.347460370279295 517.5727647049611 2.09056774161178 -39.05932463341191 1 1
1270.5 42.86503032113112 -8.34745909126657 517.5482073530073 2.081956917305865 -39.06625525976313 1 1
1270.5500000000002 42.86501273942199 -8.347457817522319 517.5232661059651 2.059701079249946 -39.07460789662253 1 1
1270.6 42.86499515395365 -8.347456557394576 517.4979470738622 2.034610404253538 -39.08251417174522 1 1
1270.65 42.86497756492698 -8.347455312617688 517.4723294237027 2.0125805529019063 -39.08991442385421 1 1
1270.7 42.864959972569714 -8.34745408131903 517.4464822624445 2.005353270658788 -39.09640465779324 1 1
1270.75 42.8649423772914 -8.347452854442375 517.420457361305 1.9887812032998895 -39.10379968569531 1 1
1270.8000000000002 42.86492477868484 -8.347451637704864 517.3942812372411 1.974512339805705 -39.11148950459808 1 1
1270.85 42.86490717661736 -8.34745042969739 517.3679827677657 1.970485155043533 -39.11874750398668 1 1
1270.9 42.8648895712833 -8.347449224154088 517.3415783019041 1.9565217376241069 -39.12625168762143 1 1
1270.95 42.86487196257186 -8.347448027153943 517.315126721855 1.9406849791873075 -39.13284031685227 1 1
1271.0 42.8648543508951 -8.34744683984306 517.2886787533554 1.934290544446012 -39.13893562720948 1 1
1271.0500000000002 42.864836736475034 -8.347445656444624 517.2622621114518 1.917736554890312 -39.146357648187234 1 1
1271.1 42.86481911871455 -8.347444483174243 517.235942387615 1.8989800914283812 -39.15298823627206 1 1
1271.15 42.86480149796986 -8.347443321379382 517.2097382357421 1.8835775439658835 -39.15898970455219 1 1
1271.2 42.86478387452409 -8.347442169008115 517.18366224005 1.879146375186202 -39.16468619546546 1 1
1271.25 42.864766248514506 -8.347441019348155 517.1577809321435 1.8683103357633857 -39.17130221851254 1 1
1271.3000000000002 42.864748619527255 -8.347439876317996 517.132160065575 1.8582994803412085 -39.177825596059606 1 1
1271.35 42.86473098760405 -8.347438739412784 517.1068272387777 1.8525572978683744 -39.18370086461336 1 1
1271.4 42.86471335303656 -8.347437606020948 517.0818001026013 1.8454312122012344 -39.18997255618144 1 1
1271.45 42.864695715646384 -8.34743647698916 517.0571441503247 1.8379786711774624 -39.195624325069375 1 1
